GEO_ID,FIPS,NAME,DP05_0037E,DP05_0038E,DP05_0039E,DP05_0047E,DP05_0055E,DP05_0060E,DP05_0061E
1400000U,6037120107,Census Tract 1201.07; Los Angeles County; California,280,163,0,286,12,2971,418
1400000U,6037120108,Census Tract 1201.08; Los Angeles County; California,719,67,0,695,0,2737,340
1400000U,6037120300,Census Tract 1203; Los Angeles County; California,1287,255,0,1359,0,2043,525
1400000U,6037120400,Census Tract 1204; Los Angeles County; California,1874,257,91,861,0,2253,484
1400000U,6037121010,Census Tract 1210.10; Los Angeles County; California,2249,1,141,243,0,1365,1214
1400000U,6037121020,Census Tract 1210.20; Los Angeles County; California,1515,46,45,257,0,822,796
1400000U,6037121101,Census Tract 1211.01; Los Angeles County; California,1150,69,30,119,0,716,1261
1400000U,6037121102,Census Tract 1211.02; Los Angeles County; California,1111,63,3,112,0,591,374
1400000U,6037121210,Census Tract 1212.10; Los Angeles County; California,821,75,44,292,9,1027,900
1400000U,6037121221,Census Tract 1212.21; Los Angeles County; California,523,41,11,113,0,607,752
1400000U,6037121222,Census Tract 1212.22; Los Angeles County; California,1319,174,215,125,0,1704,1574
1400000U,6037121600,Census Tract 1216; Los Angeles County; California,1077,9,99,681,6,536,196
1400000U,6037121801,Census Tract 1218.01; Los Angeles County; California,906,6,34,179,0,1847,1330
1400000U,6037121802,Census Tract 1218.02; Los Angeles County; California,946,207,37,221,0,964,817
1400000U,6037121900,Census Tract 1219; Los Angeles County; California,940,25,57,92,0,837,1378
1400000U,6037122000,Census Tract 1220; Los Angeles County; California,2624,10,0,689,0,1245,758
1400000U,6037122120,Census Tract 1221.20; Los Angeles County; California,1320,261,157,132,0,1128,1389
1400000U,6037122121,Census Tract 1221.21; Los Angeles County; California,666,81,9,205,0,839,926
1400000U,6037122122,Census Tract 1221.22; Los Angeles County; California,476,180,11,34,0,674,1187
1400000U,6037122200,Census Tract 1222; Los Angeles County; California,1000,9,0,72,7,1262,1275
1400000U,6037122410,Census Tract 1224.10; Los Angeles County; California,1032,79,0,252,0,1152,1568
1400000U,6037122420,Census Tract 1224.20; Los Angeles County; California,1103,3,74,172,0,2050,1926
1400000U,6037123010,Census Tract 1230.10; Los Angeles County; California,1013,32,8,85,95,1345,1250
1400000U,6037123020,Census Tract 1230.20; Los Angeles County; California,915,44,27,145,0,787,886
1400000U,6037123103,Census Tract 1231.03; Los Angeles County; California,1635,149,216,184,0,1126,583
1400000U,6037123104,Census Tract 1231.04; Los Angeles County; California,1989,247,39,522,0,1398,505
1400000U,6037123203,Census Tract 1232.03; Los Angeles County; California,1030,69,91,193,0,803,740
1400000U,6037123204,Census Tract 1232.04; Los Angeles County; California,1285,81,46,170,0,1015,736
